Rank	Avalanche_size	Count	Frequency
1	0.0	1837	0.367400
2	0.0001286008230452675	953	0.190600
3	0.000257201646090535	390	0.078000
4	0.00038580246913580245	292	0.058400
5	0.0006430041152263374	168	0.033600
6	0.00051440329218107	135	0.027000
7	0.0009002057613168725	102	0.020400
8	0.0011574074074074073	81	0.016200
9	0.0007716049382716049	75	0.015000
10	0.00102880658436214	65	0.013000
11	0.0014146090534979425	56	0.011200
12	0.001286008230452675	39	0.007800
13	0.0015432098765432098	37	0.007400
14	0.0016718106995884773	32	0.006400
15	0.0019290123456790122	29	0.005800
16	0.0021862139917695473	24	0.004800
17	0.001800411522633745	23	0.004600
18	0.002700617283950617	20	0.004000
19	0.002829218106995885	18	0.003600
20	0.0030864197530864196	16	0.003200
21	0.0024434156378600825	15	0.003000
22	0.00205761316872428	15	0.003000
23	0.0023148148148148147	13	0.002600
24	0.003472222222222222	13	0.002600
25	0.0038580246913580245	11	0.002200
26	0.0029578189300411522	11	0.002200
27	0.00257201646090535	11	0.002200
28	0.0032150205761316874	10	0.002000
29	0.005015432098765432	10	0.002000
30	0.005401234567901234	10	0.002000
31	0.003986625514403292	10	0.002000
32	0.004372427983539095	9	0.001800
33	0.00360082304526749	9	0.001800
34	0.009259259259259259	9	0.001800
35	0.0033436213991769547	9	0.001800
36	0.003729423868312757	8	0.001600
37	0.007073045267489712	7	0.001400
38	0.004243827160493827	7	0.001400
39	0.006430041152263375	7	0.001400
40	0.004758230452674897	7	0.001400
41	0.006172839506172839	6	0.001200
42	0.006558641975308642	6	0.001200
43	0.0051440329218107	6	0.001200
44	0.005529835390946502	6	0.001200
45	0.0045010288065843625	6	0.001200
46	0.004886831275720165	6	0.001200
47	0.004629629629629629	5	0.001000
48	0.0059156378600823045	5	0.001000
49	0.006044238683127572	5	0.001000
50	0.011188271604938271	5	0.001000
51	0.005272633744855967	5	0.001000
52	0.0102880658436214	4	0.000800
53	0.016203703703703703	4	0.000800
54	0.022247942386831275	4	0.000800
55	0.006944444444444444	4	0.000800
56	0.010545267489711935	4	0.000800
57	0.007716049382716049	4	0.000800
58	0.012474279835390947	4	0.000800
59	0.040123456790123455	4	0.000800
60	0.00565843621399177	4	0.000800
61	0.009002057613168725	4	0.000800
62	0.007458847736625514	4	0.000800
63	0.005787037037037037	4	0.000800
64	0.010673868312757202	3	0.000600
65	0.007587448559670782	3	0.000600
66	0.00720164609053498	3	0.000600
67	0.01594650205761317	3	0.000600
68	0.010802469135802469	3	0.000600
69	0.018261316872427984	3	0.000600
70	0.014917695473251029	3	0.000600
71	0.00874485596707819	3	0.000600
72	0.006815843621399177	3	0.000600
73	0.007973251028806584	3	0.000600
74	0.028034979423868314	3	0.000600
75	0.0073302469135802465	3	0.000600
76	0.012345679012345678	3	0.000600
77	0.017361111111111112	3	0.000600
78	0.011959876543209876	3	0.000600
79	0.010159465020576132	3	0.000600
80	0.00411522633744856	3	0.000600
81	0.008359053497942387	2	0.000400
82	0.025591563786008232	2	0.000400
83	0.013888888888888888	2	0.000400
84	0.01890432098765432	2	0.000400
85	0.007844650205761318	2	0.000400
86	0.008101851851851851	2	0.000400
87	0.02764917695473251	2	0.000400
88	0.011831275720164609	2	0.000400
89	0.006687242798353909	2	0.000400
90	0.015432098765432098	2	0.000400
91	0.014146090534979424	2	0.000400
92	0.020318930041152265	2	0.000400
93	0.048739711934156375	2	0.000400
94	0.011059670781893004	2	0.000400
95	0.014789094650205762	2	0.000400
96	0.01633230452674897	2	0.000400
97	0.016075102880658436	2	0.000400
98	0.02301954732510288	2	0.000400
99	0.019290123456790122	2	0.000400
100	0.05079732510288066	2	0.000400
101	0.022376543209876542	2	0.000400
102	0.02854938271604938	2	0.000400
103	0.07214506172839506	2	0.000400
104	0.01684670781893004	2	0.000400
105	0.05414094650205761	2	0.000400
106	0.008616255144032922	2	0.000400
107	0.012217078189300411	2	0.000400
108	0.01131687242798354	2	0.000400
109	0.020833333333333332	2	0.000400
110	0.024948559670781894	2	0.000400
111	0.013245884773662552	2	0.000400
112	0.012602880658436214	2	0.000400
113	0.009902263374485597	2	0.000400
114	0.021862139917695474	2	0.000400
115	0.01646090534979424	2	0.000400
116	0.011574074074074073	2	0.000400
117	0.01941872427983539	1	0.000200
118	0.018518518518518517	1	0.000200
119	0.014017489711934157	1	0.000200
120	0.02044753086419753	1	0.000200
121	0.021219135802469136	1	0.000200
122	0.021604938271604937	1	0.000200
123	0.019804526748971193	1	0.000200
124	0.03073559670781893	1	0.000200
125	0.026877572016460904	1	0.000200
126	0.016975308641975308	1	0.000200
127	0.02713477366255144	1	0.000200
128	0.05954218106995885	1	0.000200
129	0.015560699588477367	1	0.000200
130	0.04603909465020576	1	0.000200
131	0.010030864197530864	1	0.000200
132	0.0466820987654321	1	0.000200
133	0.024819958847736627	1	0.000200
134	0.0688014403292181	1	0.000200
135	0.05452674897119342	1	0.000200
136	0.015303497942386831	1	0.000200
137	0.009645061728395061	1	0.000200
138	0.03330761316872428	1	0.000200
139	0.04513888888888889	1	0.000200
140	0.053626543209876545	1	0.000200
141	0.017232510288065845	1	0.000200
142	0.034079218106995886	1	0.000200
143	0.06532921810699588	1	0.000200
144	0.018132716049382717	1	0.000200
145	0.04449588477366255	1	0.000200
146	0.04359567901234568	1	0.000200
147	0.01286008230452675	1	0.000200
148	0.07587448559670781	1	0.000200
149	0.03819444444444445	1	0.000200
150	0.03356481481481482	1	0.000200
151	0.04758230452674897	1	0.000200
152	0.04243827160493827	1	0.000200
153	0.03999485596707819	1	0.000200
154	0.05234053497942387	1	0.000200
155	0.03189300411522634	1	0.000200
156	0.05915637860082305	1	0.000200
157	0.04526748971193416	1	0.000200
158	0.06802983539094651	1	0.000200
159	0.03510802469135803	1	0.000200
160	0.016718106995884774	1	0.000200
161	0.06828703703703703	1	0.000200
162	0.06031378600823045	1	0.000200
163	0.07883230452674897	1	0.000200
164	0.08024691358024691	1	0.000200
165	0.03176440329218107	1	0.000200
166	0.08256172839506173	1	0.000200
167	0.013760288065843621	1	0.000200
168	0.12319958847736626	1	0.000200
169	0.09349279835390946	1	0.000200
170	0.013374485596707819	1	0.000200
171	0.04205246913580247	1	0.000200
172	0.03343621399176955	1	0.000200
173	0.08693415637860083	1	0.000200
174	0.043209876543209874	1	0.000200
175	0.12371399176954732	1	0.000200
176	0.02880658436213992	1	0.000200
177	0.05285493827160494	1	0.000200
178	0.02816358024691358	1	0.000200
179	0.05401234567901234	1	0.000200
180	0.0367798353909465	1	0.000200
181	0.03973765432098766	1	0.000200
182	0.05311213991769547	1	0.000200
183	0.06700102880658436	1	0.000200
